bootstrap,n_points,slope,intercept,crossover,crossover_median,crossover_q25,crossover_q75
97,9239630,-759.0355294,285.1299228,0.375647663,0.3757767755,0.3757340244,0.3758219809
98,9236640,-754.6293453,283.5811696,0.3757886853,0.3757767755,0.3757340244,0.3758219809
99,9239806,-755.1062841,283.7559633,0.3757828126,0.3757767755,0.3757340244,0.3758219809
100,9237752,-753.6136625,283.2741415,0.3758877467,0.3757767755,0.3757340244,0.3758219809
101,9240161,-754.3198476,283.4876171,0.3758188493,0.3757767755,0.3757340244,0.3758219809
102,9238004,-753.1215107,283.0749348,0.3758688748,0.3757767755,0.3757340244,0.3758219809
103,9238130,-755.9992951,284.1452934,0.3758539131,0.3757767755,0.3757340244,0.3758219809
104,9239737,-755.8623821,284.0446773,0.3757888791,0.3757767755,0.3757340244,0.3758219809
105,9237490,-757.6627069,284.651881,0.3756973629,0.3757767755,0.3757340244,0.3758219809
106,9239518,-756.8550852,284.4006956,0.3757663801,0.3757767755,0.3757340244,0.3758219809
107,9241321,-755.7911775,284.010927,0.3757796273,0.3757767755,0.3757340244,0.3758219809
108,9238423,-754.9369346,283.6934938,0.3757843613,0.3757767755,0.3757340244,0.3758219809
109,9238015,-754.6543035,283.6250911,0.3758344579,0.3757767755,0.3757340244,0.3758219809
110,9241099,-758.2211103,284.8500098,0.3756819824,0.3757767755,0.3757340244,0.3758219809
111,9238774,-755.1523181,283.8252553,0.3758516639,0.3757767755,0.3757340244,0.3758219809
112,9239979,-754.8925857,283.6884481,0.3757997542,0.3757767755,0.3757340244,0.3758219809
113,9239284,-755.3133546,283.7836862,0.375716495,0.3757767755,0.3757340244,0.3758219809
114,9240392,-757.9798454,284.8330464,0.3757791821,0.3757767755,0.3757340244,0.3758219809
115,9238791,-758.3701453,284.9413061,0.3757285381,0.3757767755,0.3757340244,0.3758219809
116,9240467,-756.1847785,284.1697555,0.3757940699,0.3757767755,0.3757340244,0.3758219809
117,9236832,-754.2038642,283.4324681,0.3758035215,0.3757767755,0.3757340244,0.3758219809
118,9237676,-754.4858094,283.5640023,0.375837423,0.3757767755,0.3757340244,0.3758219809
119,9241483,-756.4462369,284.2703292,0.3757971358,0.3757767755,0.3757340244,0.3758219809
120,9239189,-754.5638986,283.560788,0.3757942681,0.3757767755,0.3757340244,0.3758219809
121,9235655,-755.7019916,284.0949324,0.3759351379,0.3757767755,0.3757340244,0.3758219809
122,9238061,-755.0927138,283.7092795,0.3757277408,0.3757767755,0.3757340244,0.3758219809
123,9239719,-754.0711037,283.4475274,0.3758896555,0.3757767755,0.3757340244,0.3758219809
124,9241541,-756.2615818,284.2121802,0.3758120035,0.3757767755,0.3757340244,0.3758219809
125,9241456,-759.1767738,285.1730271,0.3756345517,0.3757767755,0.3757340244,0.3758219809
126,9239708,-757.8340669,284.7005308,0.3756766069,0.3757767755,0.3757340244,0.3758219809
127,9239181,-753.6395583,283.2049837,0.3757830658,0.3757767755,0.3757340244,0.3758219809
128,9238337,-754.7210512,283.6349197,0.3758142419,0.3757767755,0.3757340244,0.3758219809
129,9239008,-755.7605771,284.0030497,0.3757844194,0.3757767755,0.3757340244,0.3758219809
130,9238757,-753.9622359,283.4291951,0.3759196172,0.3757767755,0.3757340244,0.3758219809
131,9240871,-755.4562476,283.8967546,0.375795098,0.3757767755,0.3757340244,0.3758219809
132,9240445,-756.3335558,284.1553003,0.3757010358,0.3757767755,0.3757340244,0.3758219809
133,9235832,-754.951609,283.7460119,0.3758466219,0.3757767755,0.3757340244,0.3758219809
134,9239193,-755.6340006,283.9799641,0.3758168159,0.3757767755,0.3757340244,0.3758219809
135,9237354,-756.318537,284.2247397,0.3758003087,0.3757767755,0.3757340244,0.3758219809
136,9238681,-758.4436939,284.9597781,0.3757164578,0.3757767755,0.3757340244,0.3758219809
137,9238996,-755.8490847,284.0668921,0.3758248807,0.3757767755,0.3757340244,0.3758219809
138,9239982,-756.0544773,284.0810305,0.375741483,0.3757767755,0.3757340244,0.3758219809
139,9240802,-755.5596636,283.9555791,0.3758215172,0.3757767755,0.3757340244,0.3758219809
140,9239780,-755.0226607,283.7129442,0.3757674556,0.3757767755,0.3757340244,0.3758219809
141,9238929,-754.8098099,283.6943099,0.375848732,0.3757767755,0.3757340244,0.3758219809
142,9237437,-752.4383101,282.8131602,0.3758622554,0.3757767755,0.3757340244,0.3758219809
143,9240602,-756.3062866,284.1513618,0.3757093744,0.3757767755,0.3757340244,0.3758219809
144,9241063,-757.4613503,284.5878215,0.3757126636,0.3757767755,0.3757340244,0.3758219809
145,9238846,-758.426616,284.9458247,0.3757065202,0.3757767755,0.3757340244,0.3758219809
146,9239221,-755.3751328,283.9271695,0.3758757168,0.3757767755,0.3757340244,0.3758219809
147,9236675,-755.2967605,283.8310125,0.3757874088,0.3757767755,0.3757340244,0.3758219809
148,9238530,-756.4206151,284.2124478,0.3757333449,0.3757767755,0.3757340244,0.3758219809
149,9236471,-756.4507655,284.2283624,0.3757394074,0.3757767755,0.3757340244,0.3758219809
150,9237585,-755.7896578,283.9359325,0.3756811562,0.3757767755,0.3757340244,0.3758219809
151,9238608,-756.5289217,284.2716241,0.3757577747,0.3757767755,0.3757340244,0.3758219809
152,9237080,-756.9280407,284.366095,0.3756844505,0.3757767755,0.3757340244,0.3758219809
153,9236796,-755.2588688,283.8113488,0.3757802265,0.3757767755,0.3757340244,0.3758219809
154,9240041,-756.3368153,284.1339737,0.3756712195,0.3757767755,0.3757340244,0.3758219809
155,9240222,-755.5960702,283.8989677,0.3757284864,0.3757767755,0.3757340244,0.3758219809
156,9239499,-755.1055056,283.728679,0.375747067,0.3757767755,0.3757340244,0.3758219809
157,9240479,-758.2206739,284.9000235,0.3757481605,0.3757767755,0.3757340244,0.3758219809
158,9239037,-756.3585233,284.1977198,0.3757447177,0.3757767755,0.3757340244,0.3758219809
159,9239868,-756.0790877,284.1259098,0.3757886106,0.3757767755,0.3757340244,0.3758219809
160,9236401,-755.5313173,283.9578256,0.3758385908,0.3757767755,0.3757340244,0.3758219809
161,9239449,-756.4535988,284.2179285,0.3757242069,0.3757767755,0.3757340244,0.3758219809
162,9238054,-754.44645,283.4992613,0.3757712178,0.3757767755,0.3757340244,0.3758219809
163,9237196,-754.6279028,283.5900403,0.3758011587,0.3757767755,0.3757340244,0.3758219809
164,9238125,-756.2387614,284.1359108,0.3757224904,0.3757767755,0.3757340244,0.3758219809
165,9240847,-756.0518591,284.1265804,0.3758030312,0.3757767755,0.3757340244,0.3758219809
166,9241273,-756.7387216,284.3436769,0.3757488136,0.3757767755,0.3757340244,0.3758219809
167,9238436,-754.2424352,283.4325563,0.3757844204,0.3757767755,0.3757340244,0.3758219809
168,9238802,-755.8115281,284.0032775,0.3757593884,0.3757767755,0.3757340244,0.3758219809
169,9237723,-754.9328418,283.6627213,0.3757456366,0.3757767755,0.3757340244,0.3758219809
170,9237685,-755.250933,283.7985758,0.3757672628,0.3757767755,0.3757340244,0.3758219809
171,9239262,-758.2179392,284.7836323,0.3755960095,0.3757767755,0.3757340244,0.3758219809
172,9239686,-756.7757683,284.3933899,0.3757961101,0.3757767755,0.3757340244,0.3758219809
173,9241317,-755.3150897,283.8645452,0.3758226852,0.3757767755,0.3757340244,0.3758219809
174,9239391,-755.4544117,283.8482025,0.3757317426,0.3757767755,0.3757340244,0.3758219809
175,9233488,-755.2835954,283.8257564,0.3757869999,0.3757767755,0.3757340244,0.3758219809
176,9239341,-755.0162776,283.7100598,0.3757668122,0.3757767755,0.3757340244,0.3758219809
177,9236720,-756.453641,284.2595279,0.3757791786,0.3757767755,0.3757340244,0.3758219809
178,9239798,-756.5454359,284.2603376,0.3757346539,0.3757767755,0.3757340244,0.3758219809
179,9238677,-756.6818348,284.3693421,0.3758109802,0.3757767755,0.3757340244,0.3758219809
180,9238299,-757.9081305,284.7487465,0.3757035121,0.3757767755,0.3757340244,0.3758219809
181,9238157,-755.1553207,283.8264571,0.3758517611,0.3757767755,0.3757340244,0.3758219809
182,9239890,-756.6381878,284.3120585,0.3757569511,0.3757767755,0.3757340244,0.3758219809
183,9241700,-754.9939568,283.6839665,0.3757433605,0.3757767755,0.3757340244,0.3758219809
184,9238314,-755.4267382,283.9032926,0.3758184325,0.3757767755,0.3757340244,0.3758219809
185,9236769,-754.8578334,283.7491971,0.3758975326,0.3757767755,0.3757340244,0.3758219809
186,9238264,-756.4092335,284.2343672,0.3757679767,0.3757767755,0.3757340244,0.3758219809
187,9240217,-753.0380413,283.0388615,0.3758626338,0.3757767755,0.3757340244,0.3758219809
188,9238540,-758.0218755,284.8462482,0.3757757625,0.3757767755,0.3757340244,0.3758219809
189,9237425,-755.5543229,283.9197816,0.3757767946,0.3757767755,0.3757340244,0.3758219809
190,9240676,-756.5381604,284.2583726,0.37573567,0.3757767755,0.3757340244,0.3758219809
191,9240814,-754.7991805,283.6962345,0.3758565747,0.3757767755,0.3757340244,0.3758219809
192,9237257,-755.4163435,283.8371714,0.3757360744,0.3757767755,0.3757340244,0.3758219809
193,9238766,-756.53234,284.2011539,0.3756629278,0.3757767755,0.3757340244,0.3758219809
194,9239936,-754.4001174,283.5312336,0.3758366774,0.3757767755,0.3757340244,0.3758219809
195,9241535,-753.856936,283.2698539,0.3757607582,0.3757767755,0.3757340244,0.3758219809
196,9240153,-754.9138365,283.7514192,0.3758725903,0.3757767755,0.3757340244,0.3758219809
197,9238323,-752.6797341,282.857806,0.3758010123,0.3757767755,0.3757340244,0.3758219809
198,9238582,-756.3117175,284.2305899,0.3758114324,0.3757767755,0.3757340244,0.3758219809
199,9236361,-756.72257,284.3296058,0.3757382389,0.3757767755,0.3757340244,0.3758219809
200,9239320,-753.1077767,283.1088463,0.375920758,0.3757767755,0.3757340244,0.3758219809
201,9239277,-754.6451283,283.5636016,0.3757575461,0.3757767755,0.3757340244,0.3758219809
202,9238394,-755.7702618,284.0016415,0.3757777407,0.3757767755,0.3757340244,0.3758219809
203,9238083,-756.2551412,284.2028113,0.3758028155,0.3757767755,0.3757340244,0.3758219809
204,9239006,-756.4705935,284.2392066,0.3757438942,0.3757767755,0.3757340244,0.3758219809
205,9239324,-759.5138232,285.3534709,0.3757054344,0.3757767755,0.3757340244,0.3758219809
206,9238455,-754.8372358,283.6688261,0.3758013153,0.3757767755,0.3757340244,0.3758219809
207,9238383,-756.3417682,284.1576834,0.3757001072,0.3757767755,0.3757340244,0.3758219809
208,9238747,-754.9141947,283.7133493,0.3758219826,0.3757767755,0.3757340244,0.3758219809
209,9240593,-755.7253294,284.0134312,0.3758156835,0.3757767755,0.3757340244,0.3758219809
210,9236276,-753.8157484,283.19926,0.3756876406,0.3757767755,0.3757340244,0.3758219809
211,9240158,-755.3391951,283.8236813,0.3757565914,0.3757767755,0.3757340244,0.3758219809
212,9240577,-754.3650493,283.5516413,0.3758812017,0.3757767755,0.3757340244,0.3758219809
213,9239232,-758.4741453,284.9720613,0.375717568,0.3757767755,0.3757340244,0.3758219809
214,9238710,-753.0486589,283.0783605,0.3759097863,0.3757767755,0.3757340244,0.3758219809
215,9242635,-754.3941504,283.5540748,0.3758699277,0.3757767755,0.3757340244,0.3758219809
216,9236412,-755.295668,283.7907423,0.3757346352,0.3757767755,0.3757340244,0.3758219809
217,9240556,-757.0572506,284.448312,0.3757289317,0.3757767755,0.3757340244,0.3758219809
218,9240906,-758.0873183,284.8599733,0.375761428,0.3757767755,0.3757340244,0.3758219809
219,9239337,-755.6393087,283.9309597,0.3757493244,0.3757767755,0.3757340244,0.3758219809
220,9238684,-754.5986564,283.5815728,0.3758045027,0.3757767755,0.3757340244,0.3758219809
221,9239268,-755.9138937,284.0078794,0.375714591,0.3757767755,0.3757340244,0.3758219809
222,9239627,-755.1144412,283.7920941,0.3758266015,0.3757767755,0.3757340244,0.3758219809
223,9238637,-757.4366706,284.6215368,0.3757694179,0.3757767755,0.3757340244,0.3758219809
224,9236617,-755.3774146,283.763651,0.3756581088,0.3757767755,0.3757340244,0.3758219809
225,9242398,-755.7650912,283.9930818,0.3757689858,0.3757767755,0.3757340244,0.3758219809
226,9237585,-755.9819196,284.0724897,0.3757662483,0.3757767755,0.3757340244,0.3758219809
227,9238793,-753.7045366,283.2406868,0.3757980389,0.3757767755,0.3757340244,0.3758219809
228,9238502,-757.1170854,284.4570737,0.3757108104,0.3757767755,0.3757340244,0.3758219809
229,9241000,-755.6562514,283.9101685,0.3757133855,0.3757767755,0.3757340244,0.3758219809
230,9240678,-756.263094,284.2098313,0.3758081461,0.3757767755,0.3757340244,0.3758219809
231,9241617,-756.732651,284.4085059,0.3758374976,0.3757767755,0.3757340244,0.3758219809
232,9239867,-754.0461818,283.3896303,0.3758252971,0.3757767755,0.3757340244,0.3758219809
233,9240460,-755.1499377,283.7635511,0.3757711375,0.3757767755,0.3757340244,0.3758219809
234,9238425,-756.2583097,284.1789049,0.3757696296,0.3757767755,0.3757340244,0.3758219809
235,9242488,-752.8005941,282.9281357,0.3758341026,0.3757767755,0.3757340244,0.3758219809
236,9239174,-755.2367535,283.7806118,0.3757505319,0.3757767755,0.3757340244,0.3758219809
237,9237420,-754.852165,283.7137191,0.3758533554,0.3757767755,0.3757340244,0.3758219809
238,9237867,-754.6240509,283.535269,0.3757304962,0.3757767755,0.3757340244,0.3758219809
