case_alias,case_name,surface,ntwr,n_repeats,n_unique_towers,n_candidate_towers,relative_rms_spread,absolute_rms_spread,mean_integrated_std,n_finite_levels,z_over_h_min,z_over_h_max
g400,Gap_4_9mps,empty,50,100,13699,13806,0.016701837878579807,0.056969248343970366,0.05511830978390334,100,0.05008012820512821,9.965945512820513
g400,Gap_4_9mps,empty,100,100,13699,13806,0.012159832189156672,0.0414365505777742,0.04006672683355409,100,0.05008012820512821,9.965945512820513
g400,Gap_4_9mps,empty,500,100,13699,13806,0.005581522772515941,0.01902782597347013,0.01824065264650166,100,0.05008012820512821,9.965945512820513
i1200,Patch_12_9mps,forested,10,100,18935,19593,0.08454448995472554,0.22045739747297743,0.1868426295984873,100,0.05008012820512821,9.965945512820513
i1200,Patch_12_9mps,forested,50,100,18935,19593,0.039299100621293034,0.10227139904807447,0.08611481030806341,100,0.05008012820512821,9.965945512820513
i1200,Patch_12_9mps,forested,100,100,18935,19593,0.026213590881672556,0.06810654430152818,0.05735909396410841,100,0.05008012820512821,9.965945512820513
i1200,Patch_12_9mps,forested,500,100,18935,19593,0.011493656203989858,0.029886059548208853,0.025329666250701707,100,0.05008012820512821,9.965945512820513
i1200,Patch_12_9mps,empty,10,100,35042,45943,0.09976931390238222,0.23246209242556395,0.1942812141335016,100,0.05008012820512821,9.965945512820513
i1200,Patch_12_9mps,empty,50,100,35042,45943,0.046672423451364735,0.10805286208784493,0.08954660271855189,100,0.05008012820512821,9.965945512820513
i1200,Patch_12_9mps,empty,100,100,35042,45943,0.03204798915002177,0.07417739399808293,0.06257391902536336,100,0.05008012820512821,9.965945512820513
i1200,Patch_12_9mps,empty,500,100,35042,45943,0.013269099298316838,0.03069290941637738,0.026607177357968054,100,0.05008012820512821,9.965945512820513
i800,Patch_8_9mps,forested,10,100,18820,19460,0.08455523559872166,0.2227067138865478,0.19325545307568678,100,0.05008012820512821,9.965945512820513
i800,Patch_8_9mps,forested,50,100,18820,19460,0.035800614262754875,0.09398303428517658,0.08262524508154263,100,0.05008012820512821,9.965945512820513
i800,Patch_8_9mps,forested,100,100,18820,19460,0.029080892194061084,0.07657615901285401,0.06619922331058017,100,0.05008012820512821,9.965945512820513
i800,Patch_8_9mps,forested,500,100,18820,19460,0.012189586494727305,0.03210478896391349,0.027584592668928883,100,0.05008012820512821,9.965945512820513
i800,Patch_8_9mps,empty,10,100,35122,46076,0.09397119595910151,0.23142392599782582,0.19855357753680414,100,0.05008012820512821,9.965945512820513
i800,Patch_8_9mps,empty,50,100,35122,46076,0.03998660083861192,0.0973026034010736,0.08206211648500557,100,0.05008012820512821,9.965945512820513
i800,Patch_8_9mps,empty,100,100,35122,46076,0.03230745507314212,0.07850423869601308,0.06377561364795631,100,0.05008012820512821,9.965945512820513
i800,Patch_8_9mps,empty,500,100,35122,46076,0.012857759409098217,0.03129233241363866,0.026433988932004344,100,0.05008012820512821,9.965945512820513
i400,Patch_4_9mps,forested,10,100,18258,18798,0.07356372849965866,0.21046063527924258,0.17805255125987365,100,0.05008012820512821,9.965945512820513
i400,Patch_4_9mps,forested,50,100,18258,18798,0.031131754543426877,0.08848719179065265,0.07568523868168921,100,0.05008012820512821,9.965945512820513
i400,Patch_4_9mps,forested,100,100,18258,18798,0.021791294537223494,0.06198284510379021,0.05283693977672824,100,0.05008012820512821,9.965945512820513
i400,Patch_4_9mps,forested,500,100,18258,18798,0.009956043495370652,0.028330650317025696,0.024124434040704544,100,0.05008012820512821,9.965945512820513
i400,Patch_4_9mps,empty,10,100,35526,46738,0.07234777353928995,0.21057048814896293,0.17553629937298856,100,0.05008012820512821,9.965945512820513
i400,Patch_4_9mps,empty,50,100,35526,46738,0.03138688513731461,0.0917587665840379,0.07711391145774046,100,0.05008012820512821,9.965945512820513
i400,Patch_4_9mps,empty,100,100,35526,46738,0.023460286986881605,0.06840314812885087,0.05780420894384169,100,0.05008012820512821,9.965945512820513
i400,Patch_4_9mps,empty,500,100,35526,46738,0.011530297213597475,0.03359905391992593,0.026962352738374985,100,0.05008012820512821,9.965945512820513
