case_label,case_name,surface,profile,ntwr,reference_towers,n_repeats,rms_error_mean,rms_error_std,rel_rms_error_mean,rel_rms_error_std,max_abs_error_mean,max_abs_error_std
g800,Gap_8_9mps,forested,Shear,1,1000,100,0.09471355574716966,0.04389174980552946,0.17715237913309093,0.0820951957829572,0.2264461485365488,0.1041043072181574
g800,Gap_8_9mps,forested,Shear,10,1000,100,0.0298677802158927,0.014562979550223221,0.05586474167218423,0.027238619163188656,0.06890214206339303,0.032000817190684205
g800,Gap_8_9mps,forested,Shear,100,1000,100,0.009928701101794769,0.004600341755761654,0.01857065768473005,0.008604486236732075,0.023210346934707048,0.00973334774408001
g800,Gap_8_9mps,forested,Shear,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g800,Gap_8_9mps,forested,PHI,1,1000,100,0.18872978055753845,0.062457011035662535,0.18747111628100765,0.06204047683328471,0.6209696573307197,0.42599632245695573
g800,Gap_8_9mps,forested,PHI,10,1000,100,0.05707594665771661,0.01681267400111934,0.05669529949702464,0.0167005480181629,0.16903728546055305,0.05897068657387924
g800,Gap_8_9mps,forested,PHI,100,1000,100,0.018077863909756214,0.005406931338441126,0.017957300205225978,0.005370871786518551,0.05693174469983089,0.019283379832197214
g800,Gap_8_9mps,forested,PHI,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g800,Gap_8_9mps,forested,Skew,1,1000,100,0.08847001344166702,0.027829541605239448,0.2788690335649164,0.08772234873825202,0.29689980259923515,0.1908942304884519
g800,Gap_8_9mps,forested,Skew,10,1000,100,0.028441255936909274,0.007502349381949542,0.089650552180914,0.02364838480543577,0.1006966295080165,0.0563238853044829
g800,Gap_8_9mps,forested,Skew,100,1000,100,0.008643959992866896,0.0023182276794091474,0.027246890506849374,0.007307356327763279,0.029576752324346107,0.015115508375821301
g800,Gap_8_9mps,forested,Skew,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g800,Gap_8_9mps,patches,U,1,1000,100,0.554027153780621,0.3350976535181972,0.05848696466424971,0.03537524196540082,1.0569858423448373,0.5341700718411208
g800,Gap_8_9mps,patches,U,10,1000,100,0.18828827576978996,0.11267655486589488,0.019877021652265105,0.011894921824608775,0.31975135306541697,0.15619487262802964
g800,Gap_8_9mps,patches,U,100,1000,100,0.05451160619726667,0.03666904901458839,0.005754624775509607,0.003871040181610118,0.10906552490613565,0.054053018486013765
g800,Gap_8_9mps,patches,U,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g800,Gap_8_9mps,patches,Shear,1,1000,100,0.07542185000519307,0.0299711766343252,0.17912041618475183,0.07117897044314614,0.23260416088134517,0.11422351415002815
g800,Gap_8_9mps,patches,Shear,10,1000,100,0.023969776790802016,0.010735562733280603,0.05692616124277569,0.025496039471722465,0.06870202597788454,0.03747493794392644
g800,Gap_8_9mps,patches,Shear,100,1000,100,0.007200208405870621,0.0032669077346685125,0.0170998765767174,0.007758625292680007,0.020566324113730758,0.01148174387592679
g800,Gap_8_9mps,patches,Shear,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g800,Gap_8_9mps,patches,PHI,1,1000,100,0.16360968197853343,0.038241680378984684,0.1686925470027158,0.03942973537251378,0.46276649321752183,0.15643049856308977
g800,Gap_8_9mps,patches,PHI,10,1000,100,0.05241529626619396,0.016612848441550684,0.05404368324734186,0.017128960112171007,0.1535747160964042,0.06731934473791769
g800,Gap_8_9mps,patches,PHI,100,1000,100,0.015643149182976268,0.003980220674117378,0.01612913518874731,0.0041038742636137085,0.04590207005419297,0.014754105806329718
g800,Gap_8_9mps,patches,PHI,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g800,Gap_8_9mps,patches,Skew,1,1000,100,0.08872846833085588,0.024806012925498517,0.29144536499749024,0.08148002131904535,0.2607428295512555,0.13795581717300556
g800,Gap_8_9mps,patches,Skew,10,1000,100,0.028081264756070704,0.006483583503762871,0.09223820280438781,0.021296551110290645,0.09015826867796832,0.05057088327264862
g800,Gap_8_9mps,patches,Skew,100,1000,100,0.00857070312922132,0.0020253264496471967,0.028152088599870298,0.00665256616574804,0.026605450895125272,0.011353749578986968
g800,Gap_8_9mps,patches,Skew,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g400,Gap_4_9mps,forested,U,1,1000,100,0.545908232300797,0.34743914655212604,0.05353870819801875,0.03407430403719118,0.8770990648489599,0.5182580798587495
g400,Gap_4_9mps,forested,U,10,1000,100,0.16732183164258807,0.12718382033319664,0.01640970805975051,0.012473263895709744,0.2605241515241537,0.13411122980524884
g400,Gap_4_9mps,forested,U,100,1000,100,0.0471192392931757,0.031437763086204544,0.00462111221953498,0.0030831871085309753,0.07949932073151186,0.03595200517113637
g400,Gap_4_9mps,forested,U,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g400,Gap_4_9mps,forested,Shear,1,1000,100,0.07870355225832153,0.03244932558628956,0.15579808990306734,0.06423525749375701,0.1896224086509825,0.08988240745596905
g400,Gap_4_9mps,forested,Shear,10,1000,100,0.024021776265960918,0.010443398792060396,0.04755245158479921,0.020673292846537017,0.058830250159852646,0.02835597845680888
g400,Gap_4_9mps,forested,Shear,100,1000,100,0.008443924264551088,0.00397959156018305,0.01671522102821129,0.007877824391405807,0.019963471232080997,0.008001228172258368
g400,Gap_4_9mps,forested,Shear,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g400,Gap_4_9mps,forested,PHI,1,1000,100,0.16547334511921286,0.04055569351204991,0.1715250955631791,0.042038910860681435,0.4785557466401654,0.1904711782003929
g400,Gap_4_9mps,forested,PHI,10,1000,100,0.05633950586597043,0.018175172307512522,0.05839997445317155,0.018839881218799173,0.1656672702589086,0.06409506733792228
g400,Gap_4_9mps,forested,PHI,100,1000,100,0.0165586714725448,0.005483522626678451,0.01716426113632582,0.005684067980170839,0.04858703594734117,0.015088087844547092
g400,Gap_4_9mps,forested,PHI,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g400,Gap_4_9mps,forested,Skew,1,1000,100,0.1038254152413757,0.02937090138977589,0.3222641548082557,0.09116446768190489,0.37937881726422107,0.17018985233095862
g400,Gap_4_9mps,forested,Skew,10,1000,100,0.0316492585004159,0.008927695502630091,0.09823627015825252,0.02771071263092818,0.1164360882583437,0.06222137580191288
g400,Gap_4_9mps,forested,Skew,100,1000,100,0.009419610242201977,0.002508264490558808,0.029237568915753145,0.007785412985888715,0.0372699467032128,0.021037385681908896
g400,Gap_4_9mps,forested,Skew,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g400,Gap_4_9mps,patches,U,1,1000,100,0.529878824658029,0.3300412811986237,0.05831022177081135,0.036319209986612644,0.9066112004542438,0.36308766273218174
g400,Gap_4_9mps,patches,U,10,1000,100,0.16733747770436141,0.10429120322982544,0.0184145600492844,0.011476667694732974,0.2807670007038691,0.12459259622470997
g400,Gap_4_9mps,patches,U,100,1000,100,0.04990249921516351,0.029594581182491163,0.005491492886193097,0.003256719294414235,0.08751630084954494,0.037924527107725946
g400,Gap_4_9mps,patches,U,1000,1000,1,0.0,0.0,0.0,0.0,0.0,0.0
g400,Gap_4_9mps,patches,Shear,1,1000,100,0.07240156419395644,0.03306261805145895,0.1752411085605631,0.08002492630864715,0.18891890461003283,0.08384835201908743
g400,Gap_4_9mps,patches,Shear,10,1000,100,0.022197622032179058,0.009918901485328733,0.05372723553191053,0.024007758828739716,0.05474360416044696,0.021118677827760796
